Sample Properties																			
				Demag			Susceptibility				VSM								
Sample	Lat	Lon	Rock	Dec	Inc	Mag_date	Sus _type	Curie_Temp	x-Ti content	Z-Ox (Magh)	FORC type	Mrs	Ms	Bcr	Bc	Brh	Mrs/Ms	Bcr/Bc	Brh/Bcr
D1	34.9425	32.85932	Dunite	6.4	50	<54	c	601	>>0.5	>0.75	d	0.000001	0.000006	26.66	15.29	29.72	0.26	1.74	1.11
OP1	34.91689	32.87219	Dunite	18.4	52.8	<54	a	571	<0.4	High	d	0	0.000002	21.26	11.81	26.09	0.21	1.8	1.23
D2	34.97014	32.89178	Wehrlite	269.2	22.7	92-80	b	596	>0	Smallest	b	0.000053	0.000176	16.67	10.92	18.77	0.3	1.53	1.13
TR1	34.9319	32.87669	Hazburgite	276.8	-28.1	92-80	c	601	>>0.5	>0.75	d	0.000003	0.000022	28.26	11.56	42.23	0.16	2.45	1.49
AF10	34.93221	32.90067	Serpentinite	289.5	48.5	80-69	a	590	<0.4	High	a	0.000018	0.000036	24.13	18.7	23.91	0.49	1.29	0.99
D3	34.96908	32.89093	Dunite	297.4	4.6	80-69	d	595	>>>0.5	>>0.75	c	0.000014	0.000062	26.62	13.81	29.17	0.23	1.93	1.1
H1	34.94659	32.84747	Hazburgite	306.2	58.4	80-69	b	597	>0	Smallest	b	0.000113	0.00074	12.84	6.89	17.51	0.15	1.86	1.36
TR2	34.92745	32.88106	Hazburgite	318.5	52.6	80-69	d	600	>>>0.5	>>0.75	a	0.000002	0.000009	31.99	14.96	38.53	0.18	2.14	1.2
PP1	34.91728	32.88418	Hazburgite	328.3	15.7	80-69	a	596	<0.4	High	a	0.000084	0.000275	32.68	20.72	39.25	0.31	1.58	1.2
C1	34.93241	32.8903	Serpentinite	334.8	51.8	80-69	a	597	<0.4	High	a	0.000003	0.000008	21.02	15.62	21.34	0.44	1.35	1.02
AF9	34.93352	32.92018	Serpentinite	341.5	39.1	69-54	a	593	<0.4	High	a	0.000008	0.000019	25.4	18.78	26.13	0.42	1.35	1.03
VA	34.77103	32.53782	PillowLava	351.7	1.7	<54	a	597	<0.4	High	a	0.000115	0.000284	39.04	26.63	41.92	0.4	1.47	1.07
D5	34.97075	32.89342	Gabbro	352.3	-37.3	<54	b	598	>0	Smallest	c	0.000001	0.00001	24.23	8	33.98	0.12	3.03	1.4
D4	34.97083	32.89342	Gabbro	354.8	-36.5	<54	b	594	>0	Smallest	c	0.000002	0.000012	24.83	9.77	31.69	0.16	2.54	1.28
AV	34.77097	32.53824	PillowLava	356.9	-7.8	<54	a	599	<0.4	High	a	0.000025	0.000053	29.29	22.25	29.86	0.48	1.32	1.02
T2	34.9095	32.91074	Hazburgite	-	-	-	c	599	>>0.5	>0.75	d	0.000008	0.000028	27.06	14.85	30.11	0.28	1.82	1.11
T1	34.9098	32.90274	Hazburgite	-	-	-	d	595	>>>0.5	>>0.75	d	0.000001	0.000003	46.67	19.84	58.18	0.22	2.35	1.25
OP1 primary				251.1	43.3	92-80													
